ActorID,DirectorID,RelationshipName
nm0564219,nm0821472,works_with
nm0624735,nm0897085,works_with
nm0318105,nm0807742,works_with
nm0841797,nm0939992,works_with
nm0564219,nm0853336,works_with
nm0203836,nm0897085,works_with
nm0001230,nm0646058,works_with
nm0762277,nm0003638,works_with
nm0601596,nm0097648,works_with
nm0564219,nm0280463,works_with
nm0570006,nm0068419,works_with
nm0637040,nm0000033,works_with
nm0126566,nm0454771,works_with
nm0001932,nm0646058,works_with
nm0407329,nm0331482,works_with
nm0564219,nm0001328,works_with
nm0324553,nm0742914,works_with
nm0203836,nm0896542,works_with
nm0404885,nm0562845,works_with
nm0602959,nm0803705,works_with
nm0318105,nm0503777,works_with
nm0404885,nm0939992,works_with
nm0404885,nm0731910,works_with
nm0404885,nm0113284,works_with
nm0773525,nm0003433,works_with
nm0432041,nm0777579,works_with
nm0432041,nm0583206,works_with
nm0031832,nm0621540,works_with
nm0045754,nm0115218,works_with
nm0345073,nm0366781,works_with
nm0847301,nm0654868,works_with
nm0800660,nm0451576,works_with
nm0052328,nm0097867,works_with
nm0001211,nm0731596,works_with
nm0306723,nm0233091,works_with
nm0866010,nm0731596,works_with
nm0014656,nm0163229,works_with
nm0476802,nm0055823,works_with
nm0837925,nm0821472,works_with
nm0203836,nm0097648,works_with
nm0879945,nm0793646,works_with
nm0785524,nm0739501,works_with
nm0299540,nm0036769,works_with
nm0555597,nm0939992,works_with
nm0431212,nm0655065,works_with
nm0037304,nm0739501,works_with
nm0612847,nm0939992,works_with
nm0003540,nm0678203,works_with
nm0000007,nm0943758,works_with
nm0000795,nm0097648,works_with
nm0222444,nm0097867,works_with
nm0000071,nm0828419,works_with
nm0000046,nm0002030,works_with
nm0000071,nm0001008,works_with
nm0094135,nm0113284,works_with
nm0001211,nm0500552,works_with
nm0299540,nm0710888,works_with
nm0926599,nm0943758,works_with
nm0001932,nm0792605,works_with
nm0000023,nm0002030,works_with
nm0431212,nm0056334,works_with
nm0695863,nm0071796,works_with
nm0847301,nm0621540,works_with
nm0384908,nm0000180,works_with
nm0307435,nm0951170,works_with
nm0753479,nm0455839,works_with
nm0709993,nm0951170,works_with
nm0594062,nm0793646,works_with
nm0619227,nm0793646,works_with
nm0714878,nm0002190,works_with
nm0753479,nm0408348,works_with
nm0714878,nm0357607,works_with
nm0926599,nm0002030,works_with
nm0709993,nm0029363,works_with
nm0140459,nm0812150,works_with
nm0945544,nm0621540,works_with
nm0000012,nm0202681,works_with
nm0793766,nm0000041,works_with
nm0463152,nm0455938,works_with
nm0001536,nm0849474,works_with
nm0793766,nm0849474,works_with
nm0000044,nm0202088,works_with
nm0555597,nm0562845,works_with
nm0442886,nm0003226,works_with
nm0866264,nm0871185,works_with
nm0147143,nm0212500,works_with
nm0361697,nm0455839,works_with
nm0000007,nm0712947,works_with
nm0002092,nm0001379,works_with
nm0000027,nm0294243,works_with
nm0031446,nm0678203,works_with
nm0000027,nm0000180,works_with
nm0273766,nm0739501,works_with
nm0001050,nm0003593,works_with
nm0001536,nm0605245,works_with
nm0793766,nm0605245,works_with
nm0605270,nm0406728,works_with
nm0841797,nm0000697,works_with
nm0754955,nm0793119,works_with
nm0000012,nm0000581,works_with
nm0432041,nm0477702,works_with
nm0000027,nm0187769,works_with
nm0000027,nm0533241,works_with
nm0052332,nm0315547,works_with
nm0463152,nm0654868,works_with
nm0384908,nm0715346,works_with
nm0051060,nm0830150,works_with
nm0080249,nm0013255,works_with
nm0454087,nm0949031,works_with
nm0945354,nm0896542,works_with
nm0623442,nm0622643,works_with
nm0004291,nm0007815,works_with
nm0004292,nm0007815,works_with
nm0202135,nm0455938,works_with
nm0004463,nm0706480,works_with
nm0477553,nm0455938,works_with
nm0945299,nm0455938,works_with
nm0837360,nm0406728,works_with
nm0477553,nm0003226,works_with
nm0462013,nm0621540,works_with
nm0867391,nm0870311,works_with
nm0202135,nm0003226,works_with
nm0837503,nm0949031,works_with
nm0637603,nm0331482,works_with
nm0084435,nm0802377,works_with
nm0052333,nm0006249,works_with
nm0947238,nm0435563,works_with
nm0442951,nm0840671,works_with
nm0000046,nm0514822,works_with
nm0580959,nm0435563,works_with
nm0637603,nm0949031,works_with
nm0007720,nm0158523,works_with
nm0441961,nm0621540,works_with
nm0299540,nm0055823,works_with
nm0407329,nm0408033,works_with
nm0456096,nm5556806,works_with
nm0084435,nm0006249,works_with
nm0534870,nm0451846,works_with
nm0477553,nm0793881,works_with
nm0847698,nm0408076,works_with
nm0304261,nm0890320,works_with
nm0000044,nm0936404,works_with
nm0762966,nm0455938,works_with
nm0880761,nm0871185,works_with
nm0945085,nm0701576,works_with
nm0473984,nm0408348,works_with
nm0000071,nm0000697,works_with
nm0945354,nm0870311,works_with
nm0945222,nm0654868,works_with
nm0442951,nm0849080,works_with
nm0797531,nm0682881,works_with
nm0315116,nm0937830,works_with
nm0001536,nm0645477,works_with
nm0645422,nm0455839,works_with
nm0199029,nm0945428,works_with
nm0033171,nm0462030,works_with
nm0201219,nm0899945,works_with
nm1352627,nm0784019,works_with
nm0244884,nm0784019,works_with
nm0415582,nm0710615,works_with
nm0762966,nm0870311,works_with
nm0645422,nm0331482,works_with
nm0875362,nm0394687,works_with
nm1434574,nm0438649,works_with
nm0619227,nm0406728,works_with
nm0456096,nm0820232,works_with
nm0548664,nm0906667,works_with
nm0000044,nm0001379,works_with
nm0474801,nm0097887,works_with
nm0383092,nm0406728,works_with
nm0945222,nm0442929,works_with
nm0660311,nm0831590,works_with
nm0947238,nm0831590,works_with
nm0126909,nm0299586,works_with
nm0029820,nm0691255,works_with
nm0945522,nm0462030,works_with
nm0714878,nm0724798,works_with
nm0631994,nm0901229,works_with
nm0592490,nm0742914,works_with
nm0590940,nm0538632,works_with
nm0881303,nm0474743,works_with
nm0879957,nm0299206,works_with
nm0154166,nm0784019,works_with
nm0126909,nm0904651,works_with
nm0162958,nm0098208,works_with
nm0407030,nm0394687,works_with
nm0202135,nm0605245,works_with
nm0848796,nm0538632,works_with
nm0712854,nm0784019,works_with
nm0053873,nm0756926,works_with
nm0201780,nm0904651,works_with
nm0006890,nm0003593,works_with
nm0415561,nm0451846,works_with
nm0438047,nm0651915,works_with
nm0619938,nm0645477,works_with
nm0462013,nm0645477,works_with
nm0849011,nm0299206,works_with
nm0000044,nm0671957,works_with
nm0674463,nm0678249,works_with
nm0000603,nm0724798,works_with
nm0001536,nm0474743,works_with
nm0438871,nm0823906,works_with
nm0677860,nm0899945,works_with
nm0119860,nm0899945,works_with
nm0315116,nm0718383,works_with
nm0162958,nm0613299,works_with
nm0154161,nm0006249,works_with
nm0270443,nm0678249,works_with
nm0945522,nm0645477,works_with
nm0007717,nm0791543,works_with
nm0875362,nm0331471,works_with
nm0904303,nm0904036,works_with
nm0815474,nm0352961,works_with
nm0001657,nm0715346,works_with
nm0442876,nm0408076,works_with
nm0954217,nm0229235,works_with
nm0895034,nm0757173,works_with
nm0441526,nm0408348,works_with
nm0847698,nm0645477,works_with
nm0490254,nm0658904,works_with
nm0619938,nm0793983,works_with
nm0960236,nm0045880,works_with
nm0001536,nm0394687,works_with
nm0767567,nm0022331,works_with
nm0896557,nm0904036,works_with
nm0865396,nm0594020,works_with
nm0712224,nm0899945,works_with
nm0747178,nm0006249,works_with
nm0670946,nm0619321,works_with
nm0227708,nm0630197,works_with
nm0441351,nm0474743,works_with
nm0475707,nm0474743,works_with
nm0049446,nm0894758,works_with
nm0944779,nm0945282,works_with
nm0475707,nm0594098,works_with
nm0104103,nm0229210,works_with
nm0004576,nm0899649,works_with
nm0580959,nm0812479,works_with
nm0904303,nm0326500,works_with
nm0714287,nm0894758,works_with
nm0462013,nm0945282,works_with
nm0347075,nm0110653,works_with
nm0185504,nm0236664,works_with
nm0154052,nm0673754,works_with
nm0462013,nm0455839,works_with
nm0775799,nm0460176,works_with
nm0609547,nm0586259,works_with
nm0398703,nm0900712,works_with
nm0051830,nm0006249,works_with
nm0710623,nm0070867,works_with
nm0407169,nm0045880,works_with
nm0060002,nm0796073,works_with
nm0410908,nm0331471,works_with
nm0125582,nm0470749,works_with
nm0236620,nm0470749,works_with
nm1007928,nm0110653,works_with
nm0517034,nm0076075,works_with
nm0176035,nm0899945,works_with
nm0665794,nm0098208,works_with
nm0830371,nm0001437,works_with
nm0890330,nm0579954,works_with
nm0244864,nm0784019,works_with
nm0846308,nm0664607,works_with
nm0620471,nm0659368,works_with
nm0002231,nm0330848,works_with
nm0352032,nm0536818,works_with
nm1352627,nm0348470,works_with
nm0660311,nm0707264,works_with
nm0705549,nm0707300,works_with
nm0422638,nm0497379,works_with
nm0475707,nm0945282,works_with
nm0078725,nm0199379,works_with
nm0899517,nm0347720,works_with
nm0158528,nm0660886,works_with
nm0897227,nm0899649,works_with
nm0441526,nm0423228,works_with
nm0340005,nm0660453,works_with
nm0797947,nm0586259,works_with
nm0764017,nm0110653,works_with
nm0442680,nm0890566,works_with
nm0407030,nm0000041,works_with
nm0210295,nm0797570,works_with
nm0000358,nm0000520,works_with
nm0619227,nm0331471,works_with
nm0407030,nm0474743,works_with
nm0475707,nm0944527,works_with
nm0052031,nm0815638,works_with
nm0015285,nm0315872,works_with
nm0538048,nm0464383,works_with
nm0876129,nm0684596,works_with
nm0015285,nm0712994,works_with
nm0000138,nm0002140,works_with
nm0837503,nm0006357,works_with
nm0352032,nm0788171,works_with
nm0854368,nm0890566,works_with
nm0753479,nm0462030,works_with
nm0714287,nm0546686,works_with
nm0644561,nm0557945,works_with
nm0895034,nm0199381,works_with
nm0611285,nm0704289,works_with
nm0147143,nm0868535,works_with
nm0441526,nm0407489,works_with
nm0622407,nm0559629,works_with
nm0135908,nm0236664,works_with
nm0273766,nm0772355,works_with
nm0555708,nm0772355,works_with
nm0119860,nm0546149,works_with
nm0437520,nm0593014,works_with
nm0359219,nm0643171,works_with
nm0474928,nm0151192,works_with
nm0707901,nm0151192,works_with
nm0620630,nm0151192,works_with
nm0417270,nm0151192,works_with
nm0474907,nm0097867,works_with
nm0049382,nm0080406,works_with
nm0619309,nm0080406,works_with
nm0707345,nm0080406,works_with
nm0620630,nm0080406,works_with
nm0849011,nm0793622,works_with
nm0385443,nm0793646,works_with
nm0304349,nm0097887,works_with
nm0707367,nm0080406,works_with
nm0315553,nm0151192,works_with
nm0846616,nm0080406,works_with
nm0575671,nm0246762,works_with
nm0345073,nm0257068,works_with
nm1397299,nm0315916,works_with
nm0436859,nm0024061,works_with
nm0847301,nm0557945,works_with
nm0304261,nm0049335,works_with
nm0456096,nm0024061,works_with
nm0754177,nm0049335,works_with
nm0593953,nm0802377,works_with
nm0707972,nm0052677,works_with
nm0613514,nm0052677,works_with
nm0474907,nm0097887,works_with
nm0007124,nm0049335,works_with
nm0839763,nm0052677,works_with
nm0049380,nm0052677,works_with
nm0154154,nm0013255,works_with
nm0440232,nm0080245,works_with
nm0710036,nm0710615,works_with
nm0347953,nm0052677,works_with
nm1352627,nm0097867,works_with
nm0708032,nm0049335,works_with
nm0784042,nm0097867,works_with
nm0710036,nm0052677,works_with
nm0004467,nm0052677,works_with
nm0712854,nm0013255,works_with
nm0681127,nm0049335,works_with
nm0004417,nm0052677,works_with
nm0657505,nm0707300,works_with
nm0469434,nm0594098,works_with
nm0149846,nm0013255,works_with
nm0122050,nm0787668,works_with
nm0612334,nm0013255,works_with
nm0182819,nm0347720,works_with
nm0548589,nm0705649,works_with
nm0168538,nm0180119,works_with
nm0812408,nm0229210,works_with
nm0029820,nm0130706,works_with
nm0548664,nm0420533,works_with
nm0051060,nm0636952,works_with
nm0228136,nm0630197,works_with
nm0755113,nm0619050,works_with
nm0407030,nm0331471,works_with
nm0648193,nm0180119,works_with
nm0033014,nm0667870,works_with
nm0001657,nm0000631,works_with
nm0069415,nm0505204,works_with
nm0674463,nm0830150,works_with
nm0043396,nm0331471,works_with
nm0454087,nm0442929,works_with
nm0398703,nm0470729,works_with
nm0957323,nm0688191,works_with
nm0119951,nm0587549,works_with
nm0126909,nm0753757,works_with
nm0904076,nm0594020,works_with
nm0462494,nm0505204,works_with
nm0246251,nm0594020,works_with
nm0794885,nm0027974,works_with
nm0369412,nm0753757,works_with
nm0246251,nm0119819,works_with
nm0957323,nm0229235,works_with
nm0674463,nm0061763,works_with
nm0042124,nm0759239,works_with
nm0896554,nm0947272,works_with
nm0879957,nm0945428,works_with
nm0043396,nm0849080,works_with
nm0651216,nm0288408,works_with
nm0209649,nm0305182,works_with
nm0434595,nm0619966,works_with
nm0605662,nm0945428,works_with
nm0764298,nm0347075,works_with
nm0881303,nm0949031,works_with
nm0883697,nm0955939,works_with
nm0462013,nm0408033,works_with
nm0452817,nm0406728,works_with
nm0216616,nm0595768,works_with
nm0080214,nm0348470,works_with
nm0746961,nm0348470,works_with
nm0129396,nm0595768,works_with
nm0462122,nm0467035,works_with
nm0767800,nm0619162,works_with
nm0361676,nm0538632,works_with
nm0347953,nm0201927,works_with
nm0895034,nm0740282,works_with
nm0764298,nm0807979,works_with
nm0223591,nm0710563,works_with
nm0244884,nm0786042,works_with
nm0619309,nm0862308,works_with
nm0876129,nm0199379,works_with
nm0619309,nm0329716,works_with
nm0043396,nm0557945,works_with
nm0086984,nm0246762,works_with
nm0611285,nm0482893,works_with
nm0633997,nm0605245,works_with
nm0406700,nm0406728,works_with
nm0043396,nm0442929,works_with
nm0015360,nm0408389,works_with
nm0754955,nm0474743,works_with
nm0406700,nm0856267,works_with
nm0605662,nm0605245,works_with
nm0436189,nm0632970,works_with
nm0652961,nm0793119,works_with
nm0848796,nm0634607,works_with
nm0359219,nm0406722,works_with
nm0535332,nm0297935,works_with
nm0645422,nm0408033,works_with
nm0764156,nm0747689,works_with
nm1139300,nm0329716,works_with
nm0913796,nm0044466,works_with
nm0329727,nm0655802,works_with
nm0433887,nm0329716,works_with
nm0004292,nm0346618,works_with
nm0352032,nm0329716,works_with
nm0244884,nm0347899,works_with
nm0586579,nm0695581,works_with
nm0438854,nm0313489,works_with
nm1033013,nm0329716,works_with
nm0893147,nm0695264,works_with
nm0442951,nm0442929,works_with
nm0664605,nm0632970,works_with
nm0682726,nm0180119,works_with
nm1748588,nm0619056,works_with
nm0118312,nm0596480,works_with
nm0419682,nm0619056,works_with
nm0518090,nm0619056,works_with
nm0707972,nm0201897,works_with
nm0465244,nm0890566,works_with
nm0594348,nm0557945,works_with
nm0945222,nm0619966,works_with
nm0644561,nm0605245,works_with
nm0793766,nm0766220,works_with
nm0146278,nm0086095,works_with
nm0945131,nm0406728,works_with
nm1352627,nm1375921,works_with
nm0346614,nm1371526,works_with
nm0315917,nm0538306,works_with
nm0712854,nm0538306,works_with
nm0945066,nm0834168,works_with
nm0708422,nm0538297,works_with
nm0051810,nm0538306,works_with
nm0755113,nm0538306,works_with
nm0084435,nm0538306,works_with
nm0415561,nm0538297,works_with
nm0609547,nm0596480,works_with
nm0707901,nm0471487,works_with
nm0708032,nm0659549,works_with
nm0889148,nm0659549,works_with
nm0244884,nm0438649,works_with
nm0046850,nm0437031,works_with
nm0412883,nm0471487,works_with
nm1150184,nm0471487,works_with
nm1167164,nm0471487,works_with
nm0033818,nm0762786,works_with
nm0097873,nm0438649,works_with
nm3183374,nm0437031,works_with
nm0004660,nm0437031,works_with
nm0707367,nm0471468,works_with
nm1154608,nm0437031,works_with
nm0619101,nm0659549,works_with
nm1126254,nm0471487,works_with
nm1126254,nm0659549,works_with
nm0417310,nm0471487,works_with
nm0875362,nm0870311,works_with
nm0201903,nm0422552,works_with
nm0299885,nm0471487,works_with
nm1125166,nm0659549,works_with
nm0044600,nm0659549,works_with
nm0766163,nm0437031,works_with
nm0435289,nm0952377,works_with
nm0052332,nm0438649,works_with
nm0024259,nm0471487,works_with
nm1154608,nm0412676,works_with
nm0764762,nm0363030,works_with
nm0746946,nm0438649,works_with
nm0619309,nm0363030,works_with
nm0611525,nm0802377,works_with
nm0004463,nm0820232,works_with
nm0417270,nm0714762,works_with
nm0474928,nm0820232,works_with
nm0707367,nm0710563,works_with
nm0463684,nm0456699,works_with
nm0474864,nm0710563,works_with
nm0315553,nm0710563,works_with
nm0837360,nm0408033,works_with
nm0623321,nm0712540,works_with
nm0619309,nm0710563,works_with
nm0474928,nm0710615,works_with
nm0149862,nm0710615,works_with
nm0541061,nm0846552,works_with
nm0222432,nm0836899,works_with
nm0632560,nm0624173,works_with
nm0080247,nm0659849,works_with
nm5919275,nm0659849,works_with
nm0621245,nm0659849,works_with
nm0710036,nm0695264,works_with
nm0659250,nm0659849,works_with
nm0004417,nm0659849,works_with
nm1181843,nm0624173,works_with
nm0754177,nm0624173,works_with
nm0813503,nm0952377,works_with
nm0707367,nm0624173,works_with
nm0417270,nm0659849,works_with
nm0707951,nm0624173,works_with
nm0767800,nm0695264,works_with
nm0412883,nm0044609,works_with
nm0004292,nm5556806,works_with
nm0437786,nm0044609,works_with
nm0710036,nm0044609,works_with
nm0419666,nm0201927,works_with
nm0848796,nm0870311,works_with
nm0437786,nm0788391,works_with
nm0820266,nm0201927,works_with
nm0766163,nm0304158,works_with
nm0056995,nm0519983,works_with
nm0893147,nm0710615,works_with
nm0767800,nm0695153,works_with
nm0417310,nm0695153,works_with
nm0619101,nm0700386,works_with
nm0149862,nm0700386,works_with
nm0347953,nm0695153,works_with
nm0754177,nm0700386,works_with
nm0474928,nm0433892,works_with
nm0199102,nm0890499,works_with
nm0412883,nm0695153,works_with
nm0222432,nm0695264,works_with
nm0707951,nm0700386,works_with
nm0889148,nm0700386,works_with
nm0004468,nm0201927,works_with
nm6174822,nm0786042,works_with
nm0595934,nm0433892,works_with
nm0659250,nm0433892,works_with
nm1167164,nm0706480,works_with
nm0042124,nm0840522,works_with
nm0412883,nm0433892,works_with
nm0893147,nm0706480,works_with
nm0950825,nm0949031,works_with
nm0437147,nm0700386,works_with
nm1194078,nm0706480,works_with
nm0619057,nm0700386,works_with
nm0707901,nm0695153,works_with
nm0340005,nm0772851,works_with
nm0659250,nm0417386,works_with
nm0080247,nm0788158,works_with
nm0315553,nm0836899,works_with
nm0474928,nm0836899,works_with
nm0441173,nm0634607,works_with
nm0710564,nm0899649,works_with
nm0419666,nm0836899,works_with
nm0417310,nm0616114,works_with
nm0793766,nm0949031,works_with
nm0619053,nm0897200,works_with
nm0297869,nm0442929,works_with
nm0664605,nm0456699,works_with
nm1134660,nm0595896,works_with
nm0793879,nm0538632,works_with
nm0456070,nm0791542,works_with
nm0438871,nm0890499,works_with
nm0436189,nm0890499,works_with
nm0437147,nm0786042,works_with
nm0945522,nm0557945,works_with
nm0612334,nm1125552,works_with
nm0424186,nm0948693,works_with
nm0412883,nm0858239,works_with
nm0383092,nm0297935,works_with
nm0000450,nm0001486,works_with
nm0619309,nm0708014,works_with
nm0498645,nm1032977,works_with
nm0042124,nm0145036,works_with
nm0707351,nm1032977,works_with
nm0945299,nm0632698,works_with
nm0654726,nm0850816,works_with
nm0004468,nm0474823,works_with
nm0644561,nm0766220,works_with
nm0645402,nm0538632,works_with
nm0439784,nm0304158,works_with
nm0605662,nm0538632,works_with
nm0816297,nm0660453,works_with
nm0044600,nm0708014,works_with
nm0415582,nm0708014,works_with
nm0875362,nm0766220,works_with
nm0632757,nm0394687,works_with
nm0623321,nm0788158,works_with
