ActorID,ActorName,MovieCount,Actor_AvgRating
nm5919275,Mynavathi,11,9.581818182
nm1172536,Udaya Kumar,44,9.354545455
nm0004660,Rajkumar,209,9.281339713
nm0498645,Leelavathi,55,9.038181818
nm0621245,T.R. Narasimharaju,19,8.968421053
nm0619306,R. Nagendra Rao,11,8.936363636
nm3183374,Balkrishna,94,8.809574468
nm0033175,Arathi,26,8.692307692
nm3583561,Larry Rosen,14,8.471428571
nm1154608,Ashwath,26,8.396153846
nm2594295,Farooq,10,8.35
nm0530820,M.V. Rajamma,22,8.322727273
nm2448004,Thoogudeepa Srinivas,11,8.236363636
nm1101742,Rajesh Hamal,16,8.2125
nm0482730,The Dalai Lama,11,8.209090909
nm0787463,Neer Bikram Shah,11,8.118181818
nm0712854,Jahar Roy,19,8.1
nm0222467,Nibhanani Devi,10,8.1
nm0706839,Pandi Raidhi,10,8.09
nm0222465,Molina Devi,16,8.06875
nm0412910,Ramana Murthi J.V.,10,8.03
nm0541061,Hasan Mammadov,22,8.022727273
nm0017873,Shahmar Alakbarov,10,8.02
nm0203836,Marion Davies,44,8.002272727
nm0619053,Shankar Nag,23,7.982608696
nm0820270,Sriranjani,10,7.96
nm0742930,Kadri Roshi,11,7.954545455
nm0764406,Pahadi Sanyal,37,7.954054054
nm0595934,Mohan Babu,213,7.949295775
nm0889542,Vishnuvardhan,59,7.949152542
nm0075198,Givi Berikashvili,11,7.945454545
nm0436200,Kalpana,31,7.935483871
nm0014141,Bulbul Ahmed,17,7.935294118
nm1007742,Robert Ndrenika,10,7.92
nm0284715,Gamini Fonseka,11,7.918181818
nm0038269,Raisul Islam Asad,21,7.914285714
nm2518312,Anwar Hossain,15,7.913333333
nm0426970,Dolly Johur,11,7.9
nm0784041,Sova Sen,12,7.9
nm0419682,Jayanthi,30,7.9
nm0611538,Madhabi Mukherjee,25,7.884
nm0746961,Chinmoy Roy,11,7.881818182
nm0159337,Kabori Sarwar,12,7.875
nm0707351,Rajanala,15,7.866666667
nm0060610,Gangapada Basu,17,7.858823529
nm0097873,Jiben Bose,14,7.857142857
nm0004631,Seeta Rama Anjaneyulu Chilakalapudi,12,7.85
nm0080247,Bharathi,32,7.8375
nm0236620,Vanja Drach,16,7.83125
nm0154161,Shekhar Chatterjee,17,7.829411765
nm0052332,Kali Bannerjee,44,7.825
nm0659250,Pandharibai,100,7.802
nm0051810,Satya Bannerjee,16,7.8
nm0223591,Dhulipala,12,7.8
nm0052322,Bhanu Bannerjee,62,7.796774194
nm0619057,Nagabhushanam,15,7.793333333
nm6150259,Bobita,31,7.790322581
nm0518090,Lokesh,10,7.79
nm0434263,Kishore Kadam,18,7.788888889
nm0007717,Dodo Abashidze,14,7.778571429
nm5984985,Ramakrishna,12,7.775
nm0593951,Kamal Mitra,20,7.77
nm0052935,Asitbaran,18,7.766666667
nm0631994,Yuriy Nikulin,12,7.766666667
nm0576367,Otar Megvinetukhutsesi,17,7.764705882
nm0135908,Toma Caragiu,35,7.757142857
nm0764017,Charo Santos-Concio,13,7.753846154
nm0049496,Rasim Balayev,15,7.753333333
nm0346614,Ruma Guha Thakurta,19,7.752631579
nm0222444,Chhaya Devi,34,7.75
nm1434574,Panchanan Bhattacharya,10,7.75
nm0611570,Sumitra Mukherjee,30,7.74
nm0442680,Kakhi Kavsadze,13,7.730769231
nm0033320,Reshat Arbana,11,7.727272727
nm1227718,H.G. Dattatreya,15,7.726666667
nm0746916,Mahua Roy Chowdhury,12,7.725
nm2588815,Devika Daftardar,10,7.72
nm0233616,Dexter Doria,11,7.718181818
nm0000122,Charles Chaplin,13,7.715384615
nm2518232,Jairam Kulkarni,14,7.714285714
nm0008704,Joe Abeywickrama,26,7.711538462
nm0839763,Suryakantham,19,7.705263158
nm0080346,Bijon Bhattacharya,11,7.7
nm0222160,Devika,20,7.7
nm0315917,Rabi Ghosh,47,7.69787234
nm0948000,Cem Yilmaz,13,7.684615385
nm0474905,Tarun Kumar,24,7.683333333
nm1272262,Nirmal Kumar,12,7.683333333
nm0439257,Ana Karic,11,7.681818182
nm0538303,Sreela Majumdar,11,7.681818182
nm0746946,Bikash Roy,26,7.680769231
nm0051830,Ajit Banerjee,10,7.68
nm0816296,Fabijan Sovagovic,33,7.678787879
nm0154110,Anil Chatterjee,44,7.675
nm0655799,Padmanabham,16,7.675
nm4661444,Srinath,16,7.675
nm0023062,Sevket Altug,14,7.671428571
nm0613514,Murali Mohan,41,7.670731707
nm1352627,Anup Kumar,70,7.664285714
nm0665794,Gina Patrichi,11,7.663636364
nm1161317,Mithu Mukherjee,16,7.6625
nm0541250,Fakhraddin Manafov,12,7.65
nm0517767,Vasilis Logothetidis,10,7.65
nm0735959,Lolita Rodriguez,11,7.645454545
nm1822342,Upendra Limaye,11,7.645454545
nm0304349,Jahar Ganguli,17,7.641176471
nm0683585,Leo Pilpani,10,7.64
nm0438871,Apostol Karamitev,16,7.6375
nm0747178,Sandhya Roy,42,7.635714286
nm0159350,Supriya Choudhury,36,7.633333333
nm0407572,Jay Ilagan,16,7.63125
nm1376311,Satabdi Roy,16,7.63125
nm0004417,Taraka Rama Rao Nandamuri,127,7.630708661
nm0049380,Balaiah M.,10,7.63
nm2690647,Pankaj Tripathi,10,7.63
nm4923289,Anowara,16,7.625
nm0474907,Uttam Kumar,105,7.622857143
nm0159330,Vasant Choudhury,20,7.62
nm3128068,Mukta Barve,20,7.62
nm0246251,Ilija Dzuvalekovski,15,7.62
nm0080249,Bharati Devi,11,7.618181818
nm1548032,Soumitra Bannerjee,13,7.615384615
nm0710564,Kanta Rao,29,7.610344828
nm1576284,Amruta Subhash,10,7.61
nm0212542,Gita Dey,21,7.60952381
nm0876833,Hasanagha Turabov,12,7.608333333
nm0847243,Sesilia Takaishvili,13,7.607692308
nm0876310,Tulasi,13,7.607692308
nm0896557,Ivica Vidovic,14,7.607142857
nm0464060,Todor Kolev,18,7.605555556
nm0125582,Boris Buzancic,18,7.6
nm0282459,Timo Flloko,13,7.6
nm1194086,Jayanto Chattopadhyay,11,7.6
nm5724719,Achyuth Kumar,28,7.592857143
nm0042124,Nora Aunor,41,7.592682927
nm2153848,Kamal Addaraarachchi,10,7.59
nm6649402,Salman Shah,27,7.588888889
nm0474928,Krishna Kumari,18,7.588888889
nm0006664,Zdenek Sver??k,13,7.584615385
nm0674463,Slobodan 'Cica' Perovic,16,7.58125
nm0080355,Manoranjan Bhattacharya,10,7.58
nm0784042,Suchitra Sen,38,7.578947368
nm0619101,Chittor V. Nagaiah,52,7.578846154
nm0348465,Anubha Gupta,10,7.57
nm0430806,Nivedita Joshi Saraf,10,7.57
nm0708422,P. Ramlee,28,7.567857143
nm0707901,M.G. Ramachandran,87,7.567816092
nm0082011,Severin Bijelic,15,7.566666667
nm1940449,Andrew Garfield,12,7.566666667
nm0759619,Rosy Samad,12,7.566666667
nm0044600,Saroja Devi B.,77,7.566233766
nm0611525,Gyanesh Mukherjee,14,7.564285714
nm3534300,Babusan,19,7.563157895
nm5397578,Szab?? Antal,10,7.56
nm0707951,Bhanumathi Ramakrishna,30,7.556666667
nm1242068,Dilip Prabhavalkar,19,7.552631579
nm0694884,Prabhakar Reddy,29,7.551724138
nm0795552,Shubha,10,7.55
nm0154152,Sabitri Chatterjee,42,7.545238095
nm0273076,Dindo Fernando,16,7.5375
nm0586579,Mikkilineni,11,7.536363636
nm0162958,Stefan Ciubotarasu,14,7.535714286
nm0033171,Michiyo Aratama,31,7.532258065
nm0767800,Savitri,70,7.531428571
nm0245344,Boris Dvornik,31,7.529032258
nm1156849,Ajitesh Bannerjee,15,7.526666667
nm0670946,Amza Pellea,23,7.526086957
nm0788164,Mamata Shankar,13,7.523076923
nm0154164,Soumitra Chatterjee,118,7.518644068
nm0784038,Sener Sen,45,7.515555556
nm0080347,Dhiraj Bhattacharya,14,7.514285714
nm0417310,Showkar Janaki,55,7.510909091
nm0059461,Sunil Barve,10,7.51
nm0594105,Mehar Mittal,22,7.509090909
nm0707947,Ramakrishna,14,7.507142857
nm0841797,Gloria Swanson,37,7.502702703
nm0437147,Kanchana,19,7.5
nm0222432,Anjali Devi,75,7.497333333
nm0420451,Noor Jehan,20,7.495
nm0031967,Aparna Sen,36,7.494444444
nm0766163,Sathyan,10,7.49
nm2846621,Bradford Hill,18,7.488888889
nm1173060,M.R. Radha,33,7.487878788
nm0004471,Subhalekha Sudhakar,16,7.4875
nm0463684,Nevena Kokanova,38,7.484210526
nm3213989,Sanghamitra Bandyopadhyay,12,7.483333333
nm0437786,Kannamba,12,7.483333333
nm0867115,Dorotea Toncheva,12,7.483333333
nm0619047,Anant Nag,66,7.481818182
nm0033818,Tengiz Archvadze,15,7.48
nm0893147,Relangi Venkatramaiah,29,7.479310345
nm0419666,Jayamalini,22,7.477272727
nm0080214,Samit Bhanja,15,7.473333333
nm0154154,Sandhya Rani,15,7.473333333
nm1403402,Raymart Santiago,11,7.472727273
nm0767567,Lyudmila Saveleva,14,7.471428571
nm4941738,Sruthi Hariharan,13,7.469230769
nm2671390,Alamgir,16,7.46875
nm0415582,Kongara Jaggaiah,62,7.466129032
nm2059736,Vishnu Manchu,13,7.461538462
nm0006770,Narayana P.L.,14,7.457142857
nm0417270,Jamuna,42,7.452380952
nm0299885,Varalakshmi G.,21,7.452380952
nm0951309,Ugur Y??cel,10,7.45
nm0899786,Gheorghe Visu,10,7.45
nm0395950,S??ichir?? Hoshi,10,7.45
nm0052621,Uttara Baokar,12,7.45
nm0515104,Boris Livanov,15,7.446666667
nm0889148,Vanisri,52,7.444230769
nm0030894,Jackson Anthony,16,7.44375
nm0386752,Aya Hisakawa,10,7.44
nm0764762,Sharada,80,7.43875
nm0161067,Vasiliy Shukshin,16,7.4375
nm0126909,Ilona B??res,11,7.436363636
nm0466581,Hilda Koronel,28,7.435714286
nm0471771,Miodrag Krivokapic,14,7.435714286
nm0925360,Redford White,13,7.430769231
nm0347953,Gummadi,73,7.430136986
nm0318105,John Gilbert,35,7.428571429
nm2500160,Puneeth Rajkumar,21,7.423809524
nm0149846,Lily Chakravarty,19,7.421052632
nm1007928,Mat Ranillo III,10,7.42
nm0323304,Donald F. Glut,22,7.418181818
nm0830371,Slavko Stimac,19,7.415789474
nm0084435,Chhabi Biswas,45,7.415555556
nm0678284,Miodrag Petrovic-Ckalja,14,7.414285714
nm0052329,Haradhan Bannerjee,28,7.414285714
nm0314775,David Gerrold,21,7.40952381
nm0594348,Seiji Miyaguchi,13,7.407692308
nm2467428,Kyle Rea,13,7.407692308
nm1181843,R.S. Manohar,26,7.407692308
nm0681127,Nilu Phule,14,7.407142857
nm0576404,Sadhu Meher,15,7.406666667
nm1002038,??etin Tekindor,11,7.4
nm0754955,Shin Saburi,21,7.395238095
nm0710036,S.V. Ranga Rao,79,7.393670886
nm0901689,Mihai Volontir,11,7.390909091
nm0253565,Lia Eliava,11,7.390909091
nm0491551,Zarko Lausevic,15,7.386666667
nm0070827,William 'Billy' Benedict,15,7.386666667
nm0714287,Victor Rebengiuc,40,7.3825
nm2486247,Manoj Kumar Manchu,17,7.382352941
nm0159008,Noam Chomsky,10,7.38
nm0000138,Leonardo DiCaprio,27,7.377777778
nm0004291,Nargis,35,7.377142857
nm0036553,Mark Arnold,13,7.376923077
nm0033243,Ramesh Aravind,26,7.376923077
nm0436778,Hiroshi Kamiya,25,7.376
nm0904303,Pavle Vuisic,55,7.374545455
nm1693209,Ramesh Bhat,23,7.373913043
nm0707352,Rajani,19,7.373684211
nm1549743,Dewi Irawan,11,7.372727273
nm0440232,Karthika,11,7.372727273
nm0094083,Sergey Bondarchuk,27,7.37037037
nm0052328,Durgadas Bannerjee,10,7.37
nm0412883,Jayalalitha J,79,7.36835443
nm0149831,Tulsi Chakraborty,25,7.368
nm1257062,Dilhani Ekanayake,10,7.36
nm1393136,Bibhu Bhattacharya,10,7.36
nm1738026,Kaushik Banerjee,22,7.359090909
nm0698200,Petar Prlicko,11,7.354545455
nm0045013,Bronius Babkauskas,11,7.354545455
nm1111524,Arjun Chakraborty,12,7.35
nm0815474,Bert Sotlar,20,7.35
nm0615930,Golam Mustafa,10,7.35
nm0677860,Irina Petrescu,16,7.35
nm0216616,Floren Delbene,15,7.346666667
nm0182819,Octavian Cotescu,24,7.345833333
nm0197558,Oleg Dal,14,7.342857143
nm0764298,Vilma Santos,49,7.340816327
nm0456070,Zura Kipshidze,15,7.34
nm1069584,Rie Kugimiya,11,7.336363636
nm0839017,Kemal Sunal,72,7.336111111
nm1543455,Chiwa Sait??,14,7.335714286
nm0660233,Sebastian Papaiani,23,7.334782609
nm0490058,Latha,15,7.333333333
nm0212541,Dipankar Dey,49,7.332653061
nm1659547,Carey Mulligan,13,7.330769231
nm0027911,Veriko Anjaparidze,10,7.33
nm0476678,Houko Kuwashima,10,7.33
nm0004463,Akkineni Nageshwara Rao,124,7.32983871
nm0471464,Krishnamraju,29,7.327586207
nm0593953,Manoj Mitra,19,7.326315789
nm2794672,Jai Jagdeesh,12,7.325
nm0757327,Takahiro Sakurai,17,7.323529412
nm2068687,Syed Akhtar Ali,13,7.323076923
nm0125904,Leonid Bykov,13,7.323076923
nm0119193,Nonie Buencamino,18,7.322222222
nm4050725,Jason Barker,18,7.322222222
nm0331545,Kiril Gospodinov,10,7.32
nm0015609,Hiroshi Akutagawa,10,7.32
nm0813503,Elena Solovey,19,7.315789474
nm0199029,Reiko Dan,13,7.315384615
nm0620548,Antun Nalis,13,7.315384615
nm0611603,Mukkamala,13,7.315384615
nm0198731,Darko Damevski,10,7.31
nm0408626,Pedro Infante,54,7.309259259
nm1283171,Vandana Gupte,11,7.309090909
nm0141330,Sunset Carson,22,7.309090909
nm0387218,Josef Hlinomaz,13,7.307692308
nm0017988,Mija Aleksic,27,7.307407407
nm0033014,Stojan 'Stole' Arandjelovic,14,7.307142857
nm0805106,Petar Slabakov,19,7.305263158
nm1150184,R. Muthuraman,36,7.302777778
nm0548589,Rade Markovic,41,7.302439024
nm1189040,Tushar Dalvi,12,7.3
nm1328775,Daisuke Ono,11,7.3
nm0155856,Georgi Cherkelov,13,7.3
nm0146431,Philippe Caub??re,12,7.3
nm1871112,Shabana,14,7.3
