DirectorID,DirectorName,MovieCount,Director_AvgRating
nm2792120,K.R. Seetarama Sastry,3,10
nm3407152,P.R. Kaundinya,3,9.866666667
nm1376086,Aruru Pattabhi,6,9.75
nm0025655,S.K. Ananthachari,4,9.75
nm0802076,T.V. Singh Thakore,10,9.72
nm1377688,R. Ramamurthy,5,9.58
nm3383364,K.S.L. Swamy,4,9.575
nm0311678,Geethapryia,3,9.566666667
nm1032977,Y.R. Swamy,17,9.452941176
nm0900129,M.R. Vittal,6,9.45
nm1196099,N.C. Rajan,4,9.425
nm0670703,Sivaram Peketi,6,9.416666667
nm0082768,Alexander Binder,5,9.08
nm1151007,Siddalingaiah,9,9.066666667
nm4583120,Francois Lespes,3,9.066666667
nm5061460,Daniel Beard,3,9.033333333
nm2223858,Steve Ravic,5,9.02
nm0482541,Petar Lalovic,3,8.933333333
nm4318378,James Niebauer,3,8.933333333
nm3384591,Chi. Dattaraj,3,8.933333333
nm0799491,H.L.N. Simha,4,8.925
nm4698419,Tim Hahne,3,8.9
nm0813772,V. Somasekhar,6,8.9
nm4974378,Benjamin T. Orifici,3,8.9
nm4144675,John C. Brown,3,8.9
nm0471468,Hunsur Krishnamurthy,10,8.89
nm1578125,Michael Burns,3,8.866666667
nm9466320,Cag Iglesia de Dios Todopoderoso,9,8.844444444
nm4479660,Nick Nanton,3,8.833333333
nm0277892,Taliya Finkel,3,8.833333333
nm0596489,Ferenc Moldov??nyi,5,8.82
nm2739675,Ari Davidovich,3,8.8
nm1881313,Linda Palmer,3,8.766666667
nm0776411,Alexa Oona Schulz,3,8.766666667
nm0529619,Vladimir L??on,3,8.766666667
nm0602128,Mark Moormann,3,8.7
nm1715463,Eric Bednarski,3,8.7
nm6455554,Nitin Chandra,3,8.7
nm0601345,Jefferson Moore,3,8.7
nm1103151,Carlos Nader,6,8.7
nm2705834,Steven M. Hirohama,3,8.666666667
nm2740466,Christopher H.K. Lee,3,8.666666667
nm0743949,Hannes Rossacher,5,8.64
nm2678242,Cathy Jones,5,8.64
nm6288959,Brian Naydol,3,8.633333333
nm1348574,Robert Zuber,4,8.625
nm1162577,Frank Berry,4,8.625
nm0378408,Cecil M. Hepworth,4,8.6
nm5149153,Mike Redman,3,8.6
nm3857844,Elisavet Laloudaki,4,8.6
nm4145885,Anson Fogel,3,8.6
nm3857396,Massimo Pizzocaro,4,8.6
nm2947932,Gerasimos Rigas,4,8.575
nm5538332,G??bor Murai,4,8.575
nm0591659,Ethan H. Minsker,3,8.566666667
nm1032623,A.V. Seshagiri Rao,6,8.566666667
nm0890489,Eftimie Vasilescu,3,8.566666667
nm0737276,Hank Rogerson,3,8.566666667
nm0349202,Ramineedu Gutha,3,8.566666667
nm3840001,David Graham Scott,5,8.56
nm1531832,Frederic Lumiere,4,8.55
nm1335453,N. Harishchandra Rao,3,8.533333333
nm1391455,Tuomo Rysti,3,8.533333333
nm1229177,Tim Van Someren,4,8.525
nm4415855,Scott Noble,4,8.525
nm0556603,Bill Mason,4,8.525
nm0357628,Mat Hames,8,8.525
nm0044609,Ranga B.S.,17,8.517647059
nm0390437,Jacques Holender,6,8.516666667
nm1029114,Dhorairaj Bhagavan,19,8.515789474
nm1181881,Tareque Masud,6,8.5
nm1746017,Sebastian J.F.,3,8.5
nm2267566,George Voulgaris,3,8.5
nm1253853,Tomislav Zaja,3,8.5
nm1159041,Tulsi Ghimire,4,8.5
nm1181880,Catherine Masud,3,8.5
nm1029841,Luca Guardabascio,5,8.48
nm5561974,P. Sheshadri,4,8.475
nm0482297,N. Lakshminarayan,4,8.475
nm4991904,Janchivdorj Sengedorj,3,8.466666667
nm3591496,Ram,3,8.466666667
nm0887361,Hugo Van Lawick,3,8.466666667
nm0490808,Erez Laufer,3,8.466666667
nm0302087,Eduard Galic,9,8.466666667
nm0002160,Moustapha Akkad,3,8.466666667
nm0221805,Lorenzo DeStefano,3,8.466666667
nm3791887,Szil??rd Matusik,4,8.45
nm0039407,Matt Askem,4,8.45
nm0113845,Jim Brown,6,8.45
nm3883728,Joe L. Roberts,7,8.442857143
nm2833230,Nick Rosen,5,8.44
nm1783717,Tom Murray,3,8.433333333
nm7734983,Jatin Satish Wagle,3,8.433333333
nm3025186,Jason Reid,3,8.433333333
nm1355738,Terry Lukemire,3,8.433333333
nm0716845,Khan Ataur Rahman,3,8.433333333
nm7601361,Narayan Ghosh Mita,3,8.433333333
nm0258821,G??zim Erebara,5,8.42
nm3792517,Julie Cohen,3,8.4
nm0639962,Kate O'Callaghan,3,8.4
nm5041308,Rodrigo Mac Niven,3,8.4
nm2913205,Larry Wessel,3,8.4
nm0792428,Edward B. Sherman,3,8.4
nm3726121,Lieven Corthouts,3,8.4
nm2508762,Delaney Ruston,3,8.4
nm2395440,Pedro Gonz??lez Berm??dez,3,8.4
nm2387437,Aaron Matthews,3,8.4
nm5711176,Khoi Nguyen,8,8.4
nm1839981,Mattias L??w,7,8.385714286
nm1929134,Jamie Benning,5,8.38
nm3679540,Philippe Lesage,4,8.375
nm2513556,Zahir Raihan,7,8.371428571
nm4019759,Srdjan Keca,3,8.366666667
nm0037867,Yann Arthus-Bertrand,3,8.366666667
nm0746996,Dilip Roy,3,8.366666667
nm1760857,Kelly Rundle,3,8.366666667
nm0339234,Barry Greenwald,7,8.357142857
nm0666674,Anand Patwardhan,8,8.35
nm0432614,Barbara Junge,8,8.35
